Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed28,1006,0.8926441351888668,0.10735586481113324,0.8926441351888668,0.1073558648111332,0.06759443339960239,0.06759443339960239,9.755590208154054,1.3702110648155212,50.01000213623047,17.260411071777337,0.21276287212133435,0.221009079416159,0.23209883560471223,0.23603308364544315,0.8409969750241387,0.8227426305592361,0.7184322878987724
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed42,1006,0.8727634194831014,0.12723658051689857,0.8727634194831014,0.1272365805168986,0.08846918489065607,0.08846918489065607,11.029331425190367,1.6595433950424194,50.01000213623047,16.708544158935528,0.17591372327093635,0.17320512820512815,0.19607768447096452,0.19074371321562325,0.8418839252162543,0.819366828674938,0.7031854993347406
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed20,1006,0.8817097415506958,0.11829025844930419,0.8817097415506958,0.11829025844930417,0.17296222664015903,0.17296222664015903,15.113674734506171,3.4875646829605103,50.01000213623047,46.16277961730949,0.06264869133277137,0.0433218642477322,0.06763628125663106,0.0476190476190476,0.6553057910625183,0.6266641022177293,0.5607118852732366
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed28,1006,0.8846918489065606,0.11530815109343939,0.8846918489065606,0.11530815109343936,0.06262425447316103,0.06262425447316103,11.495607383079884,1.3842446208000183,50.01000213623047,15.525909709930406,0.2132288936756782,0.2222222222222222,0.23373179105251513,0.23918733640782744,0.8439317757849351,0.822049346313395,0.713453541664103
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_2p0__xyz0p5__ryp2__seed42,1006,0.8717693836978131,0.1282306163021869,0.8717693836978131,0.12823061630218688,0.09840954274353876,0.09840954274353876,11.092516433074689,1.8374707102775574,50.01000213623047,18.328421401977494,0.16263613910122796,0.1553398058252427,0.1804142250481412,0.1698113207547169,0.8273680820364773,0.7867177448762604,0.6367958170522426
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed20,1006,0.8767395626242545,0.12326043737574555,0.8767395626242545,0.12326043737574553,0.3946322067594433,0.3946322067594433,60.342598906534455,10.227432250976562,152.2639274597168,168.8329895019531,0.022448028564295685,0.013891568589619901,0.02339915968387663,0.015625,0.6168525124213515,0.601840194665794,0.5449642351931793
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed28,1006,0.8836978131212724,0.11630218687872762,0.8836978131212724,0.11630218687872763,0.07157057654075547,0.07157057654075547,11.876193274616782,1.3267438411712646,50.01000213623047,18.333867645263666,0.20618008903017782,0.21461949265687574,0.2267482139676503,0.2291666666666666,0.8385097064368778,0.8136339641784851,0.6831363923715545
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_4p0__xyz0p5__ryp4__seed42,1006,0.8757455268389662,0.12425447316103377,0.8757455268389662,0.1242544731610338,0.1272365805168986,0.1272365805168986,13.194564991961297,2.2087185382843018,50.01000213623047,27.845123291015625,0.12254210612718977,0.108893280632411,0.13473100293629522,0.1176470588235294,0.7573327737508465,0.7007854848509601,0.5787530425984654
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed20,1006,0.8846918489065606,0.11530815109343939,0.8846918489065606,0.11530815109343936,0.55168986083499,0.55168986083499,126.13891117973161,22.535727500915527,978.1539916992188,1019.7887023925772,0.013243030690795882,0.0,0.014077854560753516,0.0,0.5907522549279064,0.5809629297928026,0.5322569894531523
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed28,1006,0.885685884691849,0.11431411530815105,0.885685884691849,0.1143141153081511,0.07952286282306163,0.07952286282306163,11.654249432561558,1.3643938899040222,50.01000213623047,20.819790840148926,0.2009029368038369,0.2,0.21991838483766812,0.2142857142857142,0.8305847372225594,0.7922059859449927,0.6440917123464127
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_6p0__xyz0p5__ryp6__seed42,1006,0.8677932405566601,0.13220675944333993,0.8677932405566601,0.13220675944333996,0.13320079522862824,0.13320079522862824,18.056641053676195,2.7317605018615723,50.01000213623047,31.768068695068305,0.08454144361322963,0.0677966101694915,0.09308196944824426,0.074074074074074,0.6966058470092582,0.6547241717420497,0.5647573234213014
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed20,1006,0.8230616302186878,0.17693836978131217,0.8230616302186878,0.17693836978131214,0.595427435387674,0.595427435387674,93.58910086148124,45.72732734680176,219.72844696044922,270.8479339599608,0.012495835051904642,0.0,0.012461745424680006,0.0,0.5985528573809601,0.5890238032322642,0.54222965804126
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed28,1006,0.8886679920477137,0.11133200795228626,0.8886679920477137,0.11133200795228629,0.0805168986083499,0.0805168986083499,10.537271397045918,1.258888602256775,50.01000213623047,18.23618192672723,0.1919979827794982,0.19139602893643215,0.2096475396005746,0.2043010752688172,0.8203063002001629,0.7735425288986445,0.611900069426676
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_8p0__xyz0p5__ryp8__seed42,1006,0.8717693836978131,0.1282306163021869,0.8717693836978131,0.12823061630218688,0.16202783300198806,0.16202783300198806,16.036771880992305,3.305405378341675,50.01000213623047,34.062677764892555,0.06604399379687323,0.0449438202247191,0.07286401310146697,0.050632911392405,0.6648960465551244,0.6377515585374794,0.5663082380402525
level2_status_skip_vertical_blur_bss0p05__pos_1p0_rot_10p0__xyz1__ryp10__seed20,1006,0.7594433399602386,0.2405566600397614,0.7594433399602386,0.24055666003976142,0.6202783300198808,0.6202783300198808,131.3406374234684,50.01000213623047,420.9810943603516,554.1841186523442,0.010158420997806708,0.0,0.0106295489443304,0.0,0.5988901086857605,0.5902514051885163,0.5425886105984868
level2_status_skip_vertical_blur_bss0p05__pos_1p0_rot_10p0__xyz1__ryp10__seed28,1006,0.8747514910536779,0.1252485089463221,0.8747514910536779,0.12524850894632206,0.11928429423459244,0.11928429423459244,13.301918284738251,1.5901713371276855,50.01000213623047,34.680117988586375,0.16571777252590209,0.16247642991829034,0.18449951976702805,0.1818181818181818,0.7920571469781366,0.7392122330712193,0.5991963673678574
level2_status_skip_vertical_blur_bss0p05__pos_1p0_rot_10p0__xyz1__ryp10__seed42,1006,0.7952286282306164,0.20477137176938365,0.7952286282306164,0.2047713717693837,0.24254473161033796,0.24254473161033796,38.697872884761075,7.228300333023071,86.40037536621094,108.88137702941886,0.043986982342492174,0.0217391304347826,0.04669259390204095,0.024390243902439,0.6421605913278327,0.6262882408837593,0.5627857029493475
